spbm,spmc,ppbm,lbbm,jxs,xxs,wsjj,hsjj,sj
72573bb7,集雅廊Sergio Borchi像框A33D-0A,756,90901,1.17,1.17,923.9316 ,1081.0000 ,3280.0000 
5ff7380b,集雅廊Sergio Borchi像框A33F-0D,756,90901,1.17,1.17,1088.8889 ,1274.0000 ,3970.0000 
54fd3897,八仟代服饰系列E,133,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
c427af15,集雅廊Sergio Borchi像框A34E-0D,756,90901,1.17,1.17,198.2906 ,232.0000 ,710.0000 
fe1f4f5b,集雅廊Sergio Borchi像框A34E-10,756,90901,1.17,1.17,430.7692 ,504.0000 ,1510.0000 
c65649f3,匡威系列商品C,372,30301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
4536cba3,好孩子用品员购,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
03ce9b86,好孩子用品E,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
7c9e47d7,ENJOY服装系列B,217,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
01bf3269,集雅廊Sergio Borchi像框A34E-13,756,90901,1.17,1.17,759.8291 ,889.0000 ,2670.0000 
4a8a052b,好孩子用品A,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
80cf5d69,好孩子用品,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
17aad135,好孩子童装员购,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
6cbd51ae,好孩子童装F,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
036fb765,好孩子童装C,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
9698959b,好孩子童装B,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
016b8ea1,好孩子童装,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
4e0523d3,彪马系列商品,371,30301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
c1beac70,好孩子用品B,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
aa3b8b25,好孩子童装A,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
ba189d6a,集雅廊Sergio Borchi像框A34E-1E,756,90901,1.17,1.17,832.4786 ,974.0000 ,2920.0000 
6.09E+66,黛安芬内衣系列3,177,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
92696aaf,史努比用品D,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e594a8bd,史努比用品C,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
29b4847e,史努比用品B,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
a3c71c80,八仟代服饰系列F,133,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
4b3b5063,史努比用品,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
34fb1fb8,史努比童装F,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
28c994f4,史努比童装E,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
03b1a06f,史努比童装D,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
dc8b9255,史努比童装B,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
26329d39,史努比童装A,283,30602,1.17,1.17,0.0000 ,0.0000 ,0.0000 
5e65ae4a,集雅廊Sergio Borchi像框A3D1DQ-0A,756,90901,1.17,1.17,490.5983 ,574.0000 ,1790.0000 
ed11e332,八仟代服饰系列员购,133,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
13898cc1,集雅廊Sergio Borchi像框A3D1L-03,756,90901,1.17,1.17,396.5812 ,464.0000 ,1440.0000 
a21e0982,集雅廊Sergio Borchi像框A3D1L-32,756,90901,1.17,1.17,609.4017 ,713.0000 ,2140.0000 
ea5b4969,集雅廊Sergio Borchi像框A3C2D-0A,756,90901,1.17,1.17,518.8034 ,607.0000 ,1830.0000 
7bc05899,素然正价,1066,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
bd1d6f22,集雅廊Sergio Borchi像框A3C2D-13,756,90901,1.17,1.17,797.4359 ,933.0000 ,2800.0000 
24461002,米奇妙用品F,867,30601,1.17,1.17,0.0000 ,0.0000 ,0.0000 
b9e9fd0a,OHOO A,866,30601,1.17,1.17,0.0000 ,0.0000 ,0.0000 
81a3df41,莱克斯曼服装系列,91,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
61d9ced1,黛安芬内衣系列F,177,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
9096d06f,素然B价,1066,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
47e4a9fd,集雅廊Sergio Borchi像框A3C3D-0A,756,90901,1.17,1.17,532.4786 ,623.0000 ,1900.0000 
0cbb830e,好孩子童装D,330,70703,1.17,1.17,0.0000 ,0.0000 ,0.0000 
a5fe4258,集雅廊Sergio Borchi像框A3C4L-0D,756,90901,1.17,1.17,200.0000 ,234.0000 ,720.0000 
4aacdf14,集雅廊Sergio Borchi座钟 A422-0A,756,90901,1.17,1.17,467.5214 ,547.0000 ,1640.0000 
0f049678,ENJOY服装系列F,217,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
fb45f7f1,集雅廊Sergio Borchi座钟 A422L-0A,756,90901,1.17,1.17,476.9231 ,558.0000 ,1670.0000 
e0f6149c,ZIOZIAB,736,81001,1.17,1.17,0.0000 ,0.0000 ,0.0000 
dfdb87d0,集雅廊Sergio Borchi座钟 A42DB-0A,756,90901,1.17,1.17,538.4615 ,630.0000 ,1890.0000 
e7897b03,柯罗芭女装系列B,270,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
994a4362,ZIOZIA员购,736,81001,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e24db287,pandoraE,985,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2313060c,柯罗芭女装系列D,270,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
37495152,集雅廊Sergio Borchi座钟 ADE3A,756,90901,1.17,1.17,786.3248 ,920.0000 ,2760.0000 
8cff7aa8,集雅廊Sergio Borchi座钟 AD4E1A,756,90901,1.17,1.17,786.3248 ,920.0000 ,2760.0000 
d1d1d822,集雅廊Sergio Borchi座钟 ADE4,756,90901,1.17,1.17,740.1709 ,866.0000 ,2600.0000 
c68c7b47,莫菲服装系列E,221,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
38ca6767,柯罗芭女装系列F,270,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
64800168,集雅廊Sergio Borchi座钟 ADD1,756,90901,1.17,1.17,472.6496 ,553.0000 ,1660.0000 
45f6b44d,集雅廊Sergio Borchi座钟 ADD2,756,90901,1.17,1.17,472.6496 ,553.0000 ,1660.0000 
87f45258,芬迪诗内衣系列B,179,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
80ef6f7e,集雅廊Sergio Borchi座钟 ADD3,756,90901,1.17,1.17,472.6496 ,553.0000 ,1660.0000 
9185167d,集雅廊Sergio Borchi 座钟 ADCD-10,756,90901,1.17,1.17,526.4957 ,616.0000 ,1850.0000 
fd590614,集雅廊Sergio Borchi座钟 ABB4-10,756,90901,1.17,1.17,540.1709 ,632.0000 ,1900.0000 
d25bcb06,集雅廊Sergio Borchi座钟 ADA1,756,90901,1.17,1.17,1349.5726 ,1579.0000 ,4740.0000 
03673d87,集雅廊Sergio Borchi办公用品 AC40,756,90901,1.17,1.17,511.1111 ,598.0000 ,1790.0000 
98a8d938,集雅廊Sergio Borc办公用品   ACD0,756,90901,1.17,1.17,326.4957 ,382.0000 ,1150.0000 
f46ad8c3,集雅廊Sergio Borc办公用品   ACD2,756,90901,1.17,1.17,276.9231 ,324.0000 ,970.0000 
141f3185,集雅廊Sergio Borchi手机座 ACD3,756,90901,1.17,1.17,203.4188 ,238.0000 ,710.0000 
44d26476,集雅廊Sergio Borchi 像蒲AB2E-1EB,756,90901,1.17,1.17,263.2479 ,308.0000 ,920.0000 
e0723261,拉格斐服饰系列A,366,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
1a07077b,集雅廊PEUGEOF 开瓶器DEE0A,756,90901,1.17,1.17,504.2735 ,590.0000 ,1480.0000 
08708f4b,集雅廊Sergio Borchi 像蒲AB2E-20B,756,90901,1.17,1.17,391.4530 ,458.0000 ,1380.0000 
461a900f,集雅廊Sergio Borchi 像蒲AB2E-20R,756,90901,1.17,1.17,391.4530 ,458.0000 ,1380.0000 
71ccaff3,集雅廊Sergio Borchi 像蒲AB2D-20B,756,90901,1.17,1.17,258.1197 ,302.0000 ,910.0000 
5ff95e18,WMF厨房用品F,706,90801,1.17,1.17,0.0000 ,0.0000 ,0.0000 
559b8599,芬迪诗内衣系列D,179,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e4b7a850,集雅廊GERGGIO 花瓶E13E1E02,756,90901,1.17,1.17,2014.9573 ,2357.5000 ,6270.0000 
ff1917de,集雅廊Sergio Borchi 像蒲AB2D-20R,756,90901,1.17,1.17,258.1197 ,302.0000 ,910.0000 
3fb937b5,集雅廊GERGGIO 三角形碗E13E2E02,756,90901,1.17,1.17,1307.2650 ,1529.5000 ,4050.0000 
da9115a3,卓凡尼·华伦天奴服饰系列B.5受卡,367,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
10cd68b8,集雅廊GERGGIO 大果盘E13E0402,756,90901,1.17,1.17,1376.0684 ,1610.0000 ,4280.0000 
a21f2d9b,集雅廊GERGGIO 花瓶E13E1302,756,90901,1.17,1.17,1877.3504 ,2196.5000 ,5870.0000 
3e781842,集雅廊GERGGIO 三角型碗 E13E2E0E,756,90901,1.17,1.17,1307.2650 ,1529.5000 ,4050.0000 
63566fae,卡尔丹顿F卖,789,80701,1.17,1.17,0.0000 ,0.0000 ,0.0000 
1c74ae57,格格莉昂服装系列,92,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
bcf1b149,卓凡尼·华伦天奴服饰系列B.5,367,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
71759a11,莫菲服装系列D,221,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
cdfa8de3,23区E,594,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2d6593aa,GIVENCHYF卖,913,50101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
f6455207,西子F卖,1028,80701,1.17,1.17,0.0000 ,0.0000 ,0.0000 
3911c84e,23区B.5,594,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d7c4883d,奥得臣（AVFASON）服饰系列A受卡,368,50201,1.17,1.17,0.0000 ,0.0000 ,0.0000 
0407b18f,集雅廊GERGGIO 大圆碗E13E200E,756,90901,1.17,1.17,973.0769 ,1138.5000 ,3020.0000 
40dca71f,circleE,839,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d9d8aca6,集雅廊GERGGIO 水果盘E13E300E,756,90901,1.17,1.17,1464.5299 ,1713.5000 ,4540.0000 
93e2a1ca,集雅廊GERGGIO 花瓶E13E1E0B,756,90901,1.17,1.17,2014.9573 ,2357.5000 ,6270.0000 
04635b73,芬迪诗内衣系列4,179,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
1dce0b7c,奥得臣（AVFASON）服饰系列A,368,50201,1.17,1.17,0.0000 ,0.0000 ,0.0000 
25e12dc0,circle正价,839,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
ed658f41,Focky 内衣 员购,868,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
40e53a51,Focky 内衣 F,868,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
828b9067,Focky 内衣 E,868,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
57aa356d,Focky 内衣 C,868,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e0e474df,Focky 内衣 B,868,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e95b314b,集雅廊GERGGIO 大圆碗E13E030B,756,90901,1.17,1.17,933.7607 ,1092.5000 ,2900.0000 
1274d172,集雅廊GERGGIO 大果盘E13E040B,756,90901,1.17,1.17,1376.0684 ,1610.0000 ,4280.0000 
92ab3bb7,集雅廊GERGGIO 大果盘E13E300B,756,90901,1.17,1.17,1512.8205 ,1770.0000 ,4540.0000 
d7c9187d,集雅廊GERGGIO 大圆碗E13E20BB,756,90901,1.17,1.17,973.0769 ,1138.5000 ,3020.0000 
104026a8,G.长衬AADLF240,431,50101,1.17,1.17,765.8120 ,896.0000 ,1990.0000 
a329dd08,集雅廊GERGGIO 花瓶E13E130B,756,90901,1.17,1.17,1877.3504 ,2196.5000 ,5870.0000 
6d1d8bb5,集雅廊GERGGIO 花瓶E13E2E31,756,90901,1.17,1.17,1307.2650 ,1529.5000 ,3820.0000 
55bdbba5,B2服装系列B,52,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
22763235,集雅廊GERGGIO 花瓶E13E1D31,756,90901,1.17,1.17,2054.2735 ,2403.5000 ,6010.0000 
0399b92f,COZZI正价,490,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
6d353b7a,集雅廊GERGGIO 大果盘E13E0431,756,90901,1.17,1.17,1376.0684 ,1610.0000 ,4280.0000 
c3951122,集雅廊GERGGIO 大圆碗E13E0331,756,90901,1.17,1.17,933.7607 ,1092.5000 ,2900.0000 
67834d10,集雅廊GERGGIO 大圆碗E13E2031,756,90901,1.17,1.17,973.0769 ,1138.5000 ,2850.0000 
05facb0c,集雅廊GERGGIO 花瓶E13E1331,756,90901,1.17,1.17,1877.3504 ,2196.5000 ,5870.0000 
ee10e017,集雅廊GERGGIO 水果盘E13E3031,756,90901,1.17,1.17,1464.5299 ,1713.5000 ,4540.0000 
39f1e0e9,赛派皮草F,489,70104,1.17,1.17,0.0000 ,0.0000 ,0.0000 
9c007148,莫菲服装系列C,221,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
2b4696df,集雅廊GERGGIO 水果盘E13E3020,756,90901,1.17,1.17,1484.1880 ,1736.5000 ,4340.0000 
d098d6b2,集雅廊GERGGIO 大圆碗E13E2020,756,90901,1.17,1.17,973.0769 ,1138.5000 ,2850.0000 
3c6ebe79,集雅廊GERGGIO 三角型碗E13E2E20,756,90901,1.17,1.17,1307.2650 ,1529.5000 ,4050.0000 
432cf3f0,ODBO服装系列,93,70101,1.06,1.06,0.0000 ,0.0000 ,0.0000 
37f73820,莫菲服装系列B,221,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
a03bdbce,赛派皮草D,489,70104,1.17,1.17,0.0000 ,0.0000 ,0.0000 
ee7b4d25,缇丝丹系列C,643,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d01f22f4,影儿E,102,70102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d43d2e00,影儿D,102,70102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e358ccb9,芬迪诗内衣系列F,179,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
4.17E+48,影儿B.5,102,70102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2a8f7e86,影儿正价,102,70102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
58d5a459,集雅廊GERGGIO 花瓶E13E1E20,756,90901,1.17,1.17,2014.9573 ,2357.5000 ,6270.0000 
1ec1e4f1,集雅廊PEUGEOF 波尔多酒杯DD111,756,90901,1.17,1.17,136.7521 ,160.0000 ,400.0000 
274542c6,集雅廊PEUGEOF 不锈钢酒杯存架DEBB,756,90901,1.17,1.17,472.6496 ,553.0000 ,1380.0000 
43d1f51c,拉法 员购,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
f266b36e,传说少女装正价,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
3c5ac4aa,拉法E,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
7.69E+109,集雅廊PEUGEOF 不锈钢酒瓶DECB3,756,90901,1.17,1.17,121.3675 ,142.0000 ,360.0000 
a5275567,拉法 C,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
82c36f2b,拉法 B.5,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
0f8c8910,拉法 A,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
059ec345,拉法 正价,900,60402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
1acc6d05,阿蒂朗丝 F,899,70402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
c34ecf3e,阿蒂朗丝 E,899,70402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
57fc0bc0,阿蒂朗丝 D,899,70402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d3497eb3,集雅廊PEUGEOF 大酒杯DD112,756,90901,1.17,1.17,136.7521 ,160.0000 ,400.0000 
e83313a1,集雅廊PEUGEOF 大香槟酒杯DD113,756,90901,1.17,1.17,350.4274 ,410.0000 ,1030.0000 
0f7a1f27,阿蒂朗丝 A,899,70402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
8f4e74d4,阿蒂朗丝 正价,899,70402,1.17,1.17,0.0000 ,0.0000 ,0.0000 
7bc29120,集雅廊PEUGEOF 开瓶器DEE0B,756,90901,1.17,1.17,914.5299 ,1070.0000 ,2680.0000 
9510ceb8,芬迪诗内衣系列员购,179,100102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
67fc8d40,传说少女装B,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
2.22E+10,集雅廊PEUGEOF 开瓶器DEE04,756,90901,1.17,1.17,581.1966 ,680.0000 ,1700.0000 
d4852d3d,集雅廊PEUGEOF 开瓶器DEE0C,756,90901,1.17,1.17,410.2564 ,480.0000 ,1200.0000 
74e8b9ad,集雅廊PEUGEOF 开瓶器礼盒DEDCD,756,90901,1.17,1.17,150.4274 ,176.0000 ,440.0000 
86f2ed54,传说少女装C,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
71b21db8,集雅廊PEUGEOF 皮柄天鹅颈瓶架D4D2,756,90901,1.17,1.17,205.1282 ,240.0000 ,600.0000 
97396dfc,集雅廊PEUGEOF 温度计DEDBD,756,90901,1.17,1.17,307.6923 ,360.0000 ,900.0000 
8edeef89,集雅廊PEUGEOF 醒酒瓶D4DEA,756,90901,1.17,1.17,1512.8205 ,1770.0000 ,4430.0000 
76442770,莫菲服装系列F,221,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
a71fd65d,AADL34AD11休闲裤,431,50101,1.17,1.17,838.4615 ,981.0000 ,2180.0000 
eeaac8b1,曼妮芬内衣系列B,182,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
e12e446c,传说少女装D,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
6e07e157,集雅廊PEUGEOF 醒酒瓶D4DCE,756,90901,1.17,1.17,196.5812 ,230.0000 ,580.0000 
4db73cd1,集雅廊PEUGEOF 醒酒瓶D4DB0,756,90901,1.17,1.17,529.9145 ,620.0000 ,1550.0000 
b37f8d7f,集雅廊PEUGEOF 醒酒瓶交架DEC02,756,90901,1.17,1.17,136.7521 ,160.0000 ,400.0000 
f50d773b,传说少女装E,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
503d25fa,兔皇员购,486,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
c16a05d0,集雅廊PEUGEOF 波尔多酒杯2E00AD,756,90901,1.17,1.17,136.7521 ,160.0000 ,400.0000 
7692da75,集雅廊PEUGEOF 大酒杯2E024A,756,90901,1.17,1.17,136.7521 ,160.0000 ,400.0000 
0c8d291b,集雅廊PEUGEOF 大香槟酒杯2E011A,756,90901,1.17,1.17,350.4274 ,410.0000 ,1030.0000 
71575931,曼妮芬内衣系列C,182,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
3dcfc3f7,传说少女装F,274,100102,1.06,1.06,0.0000 ,0.0000 ,0.0000 
44f080bd,作品 B,897,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
79e3d3b1,集雅廊PEUGEOF 酒杯架2E0232,756,90901,1.17,1.17,145.2991 ,170.0000 ,430.0000 
eb89c479,作品 A,897,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
573ee7bb,集雅廊PEUGEOF 开瓶器200114,756,90901,1.17,1.17,153.8462 ,180.0000 ,450.0000 
13c93987,BRJ 员购,896,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
647f8245,PEUGEOF皮柄天鹅颈酒架2401DE,756,90901,1.17,1.17,205.1282 ,240.0000 ,600.0000 
c792144e,集雅廊PEUGEOF 醒酒瓶230012,756,90901,1.17,1.17,324.7863 ,380.0000 ,950.0000 
93b3c114,BRJ C,896,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
10b602af,BRJ B.5,896,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
0f1185b2,集雅廊PEUGEOF 醒酒瓶230043,756,90901,1.17,1.17,1512.8205 ,1770.0000 ,4430.0000 
265afc32,BRJ 正价,896,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
5.46E+12,集雅廊PEUGEOF 醒酒瓶2300E0,756,90901,1.17,1.17,1512.8205 ,1770.0000 ,4430.0000 
a0b75185,集雅廊PEUGEOF 醒酒瓶2300DC,756,90901,1.17,1.17,1162.3932 ,1360.0000 ,3400.0000 
a06c1e14,DAZZLE DIANMOND D,895,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
754dd185,集雅廊PEUGEOF 醒酒瓶2300C4,756,90901,1.17,1.17,854.7009 ,1000.0000 ,2500.0000 
117d536d,DAZZLE DIANMOND B,895,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
6b2aa1cc,珂罗蒂雅服装系列B,90,70101,1.06,1.06,0.0000 ,0.0000 ,0.0000 
6fcd1253,DAZZLE DIANMOND A,895,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
a51c1af1,曼妮芬内衣系列D,182,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
9321c4b6,集雅廊PEUGEOF 醒酒瓶230104,756,90901,1.17,1.17,529.9145 ,620.0000 ,1550.0000 
ff184a17,Read me  E,894,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
9361f913,Read me  C,894,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
ad37044f,Read me  B,894,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
fdee61c9,Read me  B.5,894,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
7195659,集雅廊PEUGEOF 醒酒瓶2301EA,756,90901,1.17,1.17,290.5983 ,340.0000 ,850.0000 
c8d9c271,集雅廊PEUGEOF 醒酒瓶过滤器2400DD,756,90901,1.17,1.17,307.6923 ,360.0000 ,900.0000 
f2b60c3f,达尔丽 C,180,70301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
81cd3db6,诗篇正价,892,70101,1.17,1.17,0.0000 ,0.0000 ,0.0000 
8d12cf21,卡洛羽员购,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
b9a9223a,卡洛琳F,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
99c3d35c,卡洛琳E,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
6eb06bdd,卡洛琳C,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
81399a6f,卡洛琳B,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
025b7929,卡洛琳B.5,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
be243777,卡洛琳正价,891,60102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
b2666238,集雅廊PEUGEOF 醒酒瓶过滤器2400C3,756,90901,1.17,1.17,393.1624 ,460.0000 ,1150.0000 
165ee911,FB2 F,890,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
4dc48ac1,集雅廊PEUGEOF 醒酒杯支架24002B,756,90901,1.17,1.17,68.3761 ,80.0000 ,200.0000 
a69be6c8,集雅廊早餐碗礼盒32A32DC4E3D,756,90901,1.17,1.17,119.6581 ,140.0000 ,390.0000 
9ac844ff,FB2 B,890,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
919391ce,集雅廊早餐杯礼盒32A144C4E3D,756,90901,1.17,1.17,108.5470 ,127.0000 ,350.0000 
dd7c2949,FB2 A,890,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
5bdce949,FB2 正价,890,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2f896de4,卡邦尼 员购,889,70102,1.17,1.17,0.0000 ,0.0000 ,0.0000 
