,kh,Count,Sum,Avg,Min,Max
33,0035312a,3,1720.0,573.3333333333334,520.0,630.0
34,0037e46b,28,37975.0,1356.25,19.0,7100.0
35,00383d1b,1,25.0,25.0,25.0,25.0
36,003896b6,3,8702.4,2900.7999999999997,1744.4,3822.0
37,0038f2be,12,21886.099999999995,1823.8416666666662,762.3,10000.0
38,003af278,10,35630.1,3563.0099999999998,1013.1,14025.6
39,003b77a0,4,2431.0,607.75,198.0,1650.0
40,003dc003,1,258.0,258.0,258.0,258.0
41,003dd6ab,1,4000.36,4000.36,4000.36,4000.36
42,003e7007,6,5070.0,845.0,175.0,1480.0
43,003f9494,4,1220.0,305.0,240.0,360.0
44,004452c7,18,24507.6,1361.5333333333333,140.0,6167.0
45,0045e58e,1,1989.0,1989.0,1989.0,1989.0
46,0047a1e2,4,1668.0,417.0,228.0,880.0
47,0049560d,36,32295.0,897.0833333333334,300.0,2085.0
48,004cb9a9,4,1330.0,332.5,130.0,450.0
49,004e1ab3,70,155030.2,2214.7171428571432,0.1,19800.0
50,004e52a8,14,18300.0,1307.142857142857,190.0,3800.0
51,004e6318,3,5049.0,1683.0,1343.0,1938.0
52,005040c3,13,26415.0,2031.923076923077,25.0,4022.0
53,005094df,3,2760.0,920.0,300.0,1436.0
54,0050ce91,4,2593.0,648.25,380.0,1438.0
55,0050d356,3,1041.0,347.0,207.0,627.0
56,0051e01e,3,1690.0,563.3333333333334,1.0,1688.0
57,0055007d,3,7973.0,2657.6666666666665,2142.0,3128.0
58,005679cf,13,16118.1,1239.8538461538462,240.0,2100.0
59,0056d2ee,2,49761.0,24880.5,2166.0,47595.0
60,005bc75e,2,2605.0,1302.5,760.0,1845.0
61,005d9547,1,400.0,400.0,400.0,400.0
62,005e503c,2,1480.0,740.0,740.0,740.0
63,005e604a,7,3310.0,472.85714285714283,200.0,850.0
64,005eaef5,2,5600.4,2800.2,1700.0,3900.4
65,0061c861,9,5880.0,653.3333333333334,280.0,1080.0
66,0069061d,19,26873.5,1414.3947368421052,22.22,9800.0
67,0069a6eb,5,4908.0,981.6,350.0,1760.0
68,006aedad,2,452.0,226.0,214.0,238.0
69,006bb861,149,83990.7,563.6959731543624,3.74,2800.0
70,006bfb32,18,71275.0,3959.722222222222,100.0,52650.0
71,006e1248,85,68472.87999999999,805.5632941176469,18.67,8165.0
72,006e450b,11,7638.0,694.3636363636364,145.0,2250.0
73,0070cc4d,11,5605.0,509.54545454545456,248.27,761.93
74,007102b6,1,760.0,760.0,760.0,760.0
75,007198c6,4,3056.0,764.0,228.0,2080.0
76,0073c114,4,665.0,166.25,98.57,320.0
77,00748c7c,2,1219.0,609.5,91.0,1128.0
78,00762d37,5,4271.0,854.2,268.75,1881.0
79,0079d67e,3,2887.0,962.3333333333334,187.0,2225.0
80,007b189e,3,3690.0,1230.0,525.0,2528.0
81,007bbe92,7,9212.0,1316.0,169.0,3868.0
82,007fc54a,5,15715.0,3143.0,175.0,9936.0
83,0080621a,3,9057.0,3019.0,2592.0,3465.0
84,0084253d,11,3945.0,358.6363636363636,76.0,628.0
85,008534b4,7,50798.299999999996,7256.9,1862.1,19800.0
86,00854f0b,1,2700.0,2700.0,2700.0,2700.0
87,0086d552,1,2794.0,2794.0,2794.0,2794.0
88,008a2320,7,10031.0,1433.0,446.0,3556.0
89,008ac2b9,1,597.6,597.6,597.6,597.6
90,008b161e,38,80365.0,2114.8684210526317,76.0,20862.0
91,008b3894,1,280.0,280.0,280.0,280.0
92,008f0235,7,2750.0,392.85714285714283,180.0,770.0
93,008fae79,8,9976.0,1247.0,260.0,2680.0
94,00913d55,4,4320.0,1080.0,320.0,2840.0
95,00930bec,3,7985.0,2661.6666666666665,320.0,4785.0
96,0093a238,9,12190.0,1354.4444444444443,300.0,6900.0
97,0093d95d,1,1180.0,1180.0,1180.0,1180.0
98,00958d17,1,5006.0,5006.0,5006.0,5006.0
99,0095c503,1,13260.0,13260.0,13260.0,13260.0
100,0095f9d4,2,134.0,67.0,46.0,88.0
101,0096441c,7,3208.0,458.2857142857143,228.0,650.0
102,00972a5e,122,192875.63,1580.947786885246,5.5,30330.0
103,0098571c,2,857.5,428.75,210.7,646.8
104,0098d465,2,8660.0,4330.0,200.0,8460.0
105,0099f444,6,11676.0,1946.0,1176.0,2786.0
106,009c8651,7,7500.0,1071.4285714285713,150.0,2600.0
107,00a08f70,1,14760.0,14760.0,14760.0,14760.0
108,00a14e47,1,2384.0,2384.0,2384.0,2384.0
109,00a159dd,14,5155.2,368.2285714285714,140.0,872.2
110,00a2a498,11,17064.0,1551.2727272727273,28.0,2798.0
111,00a2fad7,1,269.0,269.0,269.0,269.0
112,00a30736,42,63477.0,1511.357142857143,175.5,4490.0
113,00a42a8c,1,1399.0,1399.0,1399.0,1399.0
114,00a5c5b1,2,735.0,367.5,155.0,580.0
115,00a69c64,5,9984.0,1996.8,800.0,3523.0
116,00ac38a6,10,7349.0,734.9,310.0,1190.0
117,00acc42b,8,2291.0,286.375,112.0,498.0
118,00ae513b,3,1200.0,400.0,300.0,600.0
119,00af6213,21,7441.999999999997,354.38095238095224,188.4,910.0
120,00afd404,3,5818.0,1939.3333333333333,1529.0,2290.0
121,00b15012,4,1935.0,483.75,44.0,900.0
122,00b21dd1,1,479.0,479.0,479.0,479.0
123,00b2e072,1,3588.0,3588.0,3588.0,3588.0
124,00b30c79,2,1170.0,585.0,570.0,600.0
125,00b3d6a9,4,6507.0,1626.75,215.0,2952.0
126,00b4655a,9,46495.0,5166.111111111111,694.0,30400.0
127,00b787c6,5,5070.0,1014.0,300.0,1520.0
128,00b891a3,71,201685.80000000002,2840.6450704225354,1.0,17201.0
129,00b962e8,2,1500.0,750.0,620.0,880.0
130,00bc98ed,3,1090.0,363.3333333333333,79.0,726.0
131,00bd5bad,9,4760.0,528.8888888888889,190.0,780.0
132,00be3189,5,1440.0,288.0,200.0,330.0
133,00bf62c7,8,6030.0,753.75,350.0,1280.0
134,00c164a4,4,3198.0,799.5,200.0,1480.0
135,00c26742,2,1210.0,605.0,560.0,650.0
136,00c4cef3,4,26996.0,6749.0,1276.0,18701.0
137,00c64d72,3,1030.0,343.3333333333333,280.0,450.0
138,00c72d41,3,1750.0,583.3333333333334,570.0,600.0
139,00c784c2,5,3725.0,745.0,256.0,1143.0
140,00c88884,16,5570.0,348.125,175.0,620.0
141,00c9660b,5,17569.0,3513.8,850.0,5112.0
142,00cb5afc,4,1566.0,391.5,78.0,740.0
143,00cb7eed,1,2699.0,2699.0,2699.0,2699.0
144,00ce2990,18,3747.0,208.16666666666666,39.24,419.76
145,00ce6540,67,113180.8,1689.2656716417912,60.0,5800.0
146,00cfecdf,2,880.0,440.0,340.0,540.0
147,00d7c993,26,47141.2,1813.1230769230767,55.0,6651.0
148,00d86b46,6,10790.0,1798.3333333333333,900.0,3150.0
149,00d879bc,1,2967.0,2967.0,2967.0,2967.0
150,00d9e175,122,248532.54,2037.1519672131149,228.0,12000.0
151,00dd5e6a,1,891.0,891.0,891.0,891.0
152,00dea7c5,27,23460.0,868.8888888888889,81.0,4900.0
153,00dfa8a8,4,5182.0,1295.5,530.64,1971.0
154,00e3627f,1,1840.0,1840.0,1840.0,1840.0
155,00e40ed7,3,805.0,268.3333333333333,145.0,460.0
156,00e42ad5,1,510.0,510.0,510.0,510.0
157,00e4cb47,12,7510.3,625.8583333333333,2.15,2526.3
158,00e5eb18,3,3234.0,1078.0,714.0,1330.0
159,00e5ee04,4,1580.0,395.0,240.0,680.0
160,00e7986e,1,420.0,420.0,420.0,420.0
161,00e89b98,5,16600.0,3320.0,298.0,6632.0
162,00e8b935,2,812.0,406.0,310.0,502.0
163,00e9a5b2,12,7120.5,593.375,145.0,2225.0
164,00ebb265,2,420.0,210.0,205.0,215.0
165,00ee1eea,3,805.0,268.3333333333333,215.0,325.0
166,00f17003,6,4435.0,739.1666666666666,350.0,1320.0
167,00f200ed,6,7635.0,1272.5,75.0,3450.0
168,00f5d883,10,4735.0,473.5,185.0,830.0
169,00f77ad6,2,4630.0,2315.0,2232.0,2398.0
170,00f8820b,2,1341.0,670.5,251.1,1089.9
171,00f984da,3,1060.0,353.3333333333333,200.0,580.0
172,00faef58,1,1640.0,1640.0,1640.0,1640.0
173,00fafcfe,12,4489.0,374.0833333333333,216.0,810.0
174,00fbe71c,27,7024.6,260.1703703703704,33.43,1614.6
175,00ff0ca7,9,4405.0,489.44444444444446,189.0,837.0
176,0101ca7c,3,1630.0,543.3333333333334,120.0,1150.0
177,01020b5c,1,320.0,320.0,320.0,320.0
178,0104d4da,5,5729.0,1145.8,88.67,4704.0
179,0104f27a,3,679.0,226.33333333333334,99.0,350.0
180,01054e6d,8,3587.3999999999996,448.42499999999995,250.0,1029.0
181,010710b0,6,12997.400000000001,2166.2333333333336,280.0,4420.8
182,01078b27,10,2906.0,290.6,79.0,429.0
183,0108d67f,3,1335.0,445.0,250.0,680.0
184,010977ce,6,15445.0,2574.1666666666665,770.0,3999.0
185,010b0582,3,1495.0,498.3333333333333,85.0,1150.0
186,010ba753,4,1415.0,353.75,215.0,520.0
187,010bfcf6,10,10064.0,1006.4,38.54,2864.0
188,010d7b86,20,29466.500000000004,1473.3250000000003,357.0,4857.3
189,010f3c5f,2,710.0,355.0,290.0,420.0
190,0111227c,3,7390.0,2463.3333333333335,1090.0,4100.0
191,011292b7,9,4464.0,496.0,280.0,1494.0
192,0114cb4d,16,23505.0,1469.0625,26.0,4947.34
193,0115976f,3,1294.0,431.3333333333333,294.0,680.0
194,0116568e,2,1420.0,710.0,300.0,1120.0
195,0116fc67,5,11670.0,2334.0,1250.0,3806.0
196,0117b8b9,1,2725.0,2725.0,2725.0,2725.0
197,0117e856,3,1130.0,376.6666666666667,175.0,500.0
198,0118536c,4,1504.0,376.0,258.0,516.0
199,0119537c,1,981.0,981.0,981.0,981.0
200,011b9449,18,7460.0,414.44444444444446,85.0,1375.0
201,011cc47a,14,9474.0,676.7142857142857,260.0,1280.0
202,011deb0a,1,320.0,320.0,320.0,320.0
203,01200cfb,8,6140.0,767.5,40.0,3588.0
204,01213ab1,1,620.0,620.0,620.0,620.0
205,0122ca6f,4,6450.0,1612.5,1200.0,2000.0
206,0123979f,31,37038.100000000006,1194.777419354839,68.0,3654.0
207,0124300f,1,1040.0,1040.0,1040.0,1040.0
208,01248b65,23,17809.0,774.304347826087,38.0,2448.0
209,0124b630,8,7390.0,923.75,570.0,1500.0
210,0125d457,17,12355.0,726.7647058823529,80.0,2180.0
211,0126293b,3,665.0,221.66666666666666,100.0,330.0
212,0126970c,48,31575.2,657.8166666666667,89.1,2738.7
213,01280a31,8,14125.0,1765.625,448.0,5085.0
214,0128c3b2,5,17730.0,3546.0,1764.0,4464.0
215,012b9e71,12,6778.0,564.8333333333334,316.0,966.0
216,012c2898,15,8234.0,548.9333333333333,216.0,2700.0
217,012d3ce7,2,450.0,225.0,200.0,250.0
218,012e3dbf,10,6488.0,648.8,100.0,2378.0
219,0130d075,6,2940.0,490.0,310.0,900.0
220,01321f69,1,510.0,510.0,510.0,510.0
221,01344be0,7,7752.7,1107.5285714285715,380.0,1670.0
222,01364fe9,7,37630.0,5375.714285714285,132.33,13000.0
223,01390f57,8,6235.0,779.375,510.0,1329.0
224,013a4751,40,86687.4,2167.185,96.0,12900.0
225,013b7e5c,6,4870.0,811.6666666666666,350.0,1480.0
226,013c278c,1,830.0,830.0,830.0,830.0
227,013c86de,1,398.0,398.0,398.0,398.0
228,01458b78,5,4830.0,966.0,310.0,1860.0
229,014a86cd,5,1365.0,273.0,70.0,460.0
230,014b5f8e,55,126524.0,2300.4363636363637,33.24,15664.0
231,014b9641,5,8052.0,1610.4,300.0,4482.0
232,014db18f,1,718.0,718.0,718.0,718.0
233,014ddf0a,25,12160.0,486.4,80.0,1650.0
234,015055bc,12,23097.0,1924.75,450.0,5800.0
235,0150edda,70,70665.0,1009.5,50.0,6500.0
236,015217c6,30,53485.0,1782.8333333333333,98.0,5796.0
237,0153622b,1,3115.4,3115.4,3115.4,3115.4
238,0153dd53,3,2220.0,740.0,570.0,840.0
239,0154b9b8,1,320.0,320.0,320.0,320.0
240,0154d686,7,2480.0,354.2857142857143,85.0,640.0
241,015539eb,4,6410.0,1602.5,250.0,2800.0
242,01554a41,20,15171.000000000002,758.5500000000001,255.7,2283.07
243,01577fba,71,135353.36,1906.385352112676,26.0,14603.0
244,0158028f,2,3909.0,1954.5,1646.0,2263.0
245,0159122d,71,91189.01000000001,1284.3522535211268,90.24,10199.0
246,015ca5e7,11,8931.0,811.9090909090909,60.0,1782.0
247,015f32f0,2,5504.0,2752.0,2592.0,2912.0
248,0161c5f3,1,830.0,830.0,830.0,830.0
249,01649a2c,8,2775.0,346.875,80.0,820.0
250,01667bb6,17,29720.0,1748.235294117647,490.0,3329.0
251,0169452b,1,3040.0,3040.0,3040.0,3040.0
252,016952ea,3,2010.0,670.0,389.0,890.0
253,016ae2ba,1,110.0,110.0,110.0,110.0
254,016af1ba,3,3318.0,1106.0,228.0,1860.0
255,016ce967,8,4440.0,555.0,50.0,980.0
256,016d1994,3,4786.0,1595.3333333333333,772.0,2592.0
257,016dfdbe,4,4646.0,1161.5,320.0,3496.0
258,016ee275,3,1390.0,463.3333333333333,210.0,680.0
259,016f6c86,6,3160.0,526.6666666666666,300.0,1460.0
260,0172ed3e,180,151719.96,842.8886666666666,100.0,4842.0
261,0174d8d2,8,6623.1,827.8875,294.0,2885.4
262,0175e594,8,6440.0,805.0,340.0,1680.0
263,01775d81,1,1338.0,1338.0,1338.0,1338.0
264,0179f924,5,2389.0,477.8,310.0,799.0
265,017a81d6,1,271.8,271.8,271.8,271.8
266,017c979b,75,23603.499999999996,314.7133333333333,27.0,918.0
267,017ca791,4,6347.0,1586.75,894.0,2525.0
268,017cd37c,57,98157.0,1722.0526315789473,130.0,33300.0
269,017d031e,1,340.0,340.0,340.0,340.0
270,017edf35,3,1265.0,421.6666666666667,390.0,480.0
271,0180eb3f,11,8421.01,765.5463636363637,40.88,1733.16
272,0181069f,3,17686.0,5895.333333333333,4886.0,6860.0
273,018313fd,111,268727.8400000001,2420.9715315315325,36.0,13019.4
274,0183d057,11,11336.880000000001,1030.6254545454547,96.04,3380.0
275,0187c7f1,5,1704.0,340.8,230.0,499.0
276,018839a1,4,1920.0,480.0,300.0,585.0
277,018d4efa,20,9750.6,487.53000000000003,153.66,1200.0
278,019261b8,8,5348.000000000001,668.5000000000001,249.93,1440.0
279,0193ecff,1,1482.0,1482.0,1482.0,1482.0
280,01955b51,1,536.0,536.0,536.0,536.0
281,0196de7e,6,6840.0,1140.0,550.0,2500.0
282,01991fab,79,142017.00000000003,1797.6835443037978,36.57,14252.4
283,0199a515,8,6920.0,865.0,190.0,1880.0
284,0199b8fd,2,1040.0,520.0,420.0,620.0
285,019a55e2,19,8685.0,457.10526315789474,235.0,650.0
286,019aba0d,2,800.0,400.0,280.0,520.0
287,019b664e,56,83338.16000000002,1488.1814285714288,68.0,4734.0
288,019e95b4,3,4670.0,1556.6666666666667,320.0,3150.0
289,019edee9,1,730.0,730.0,730.0,730.0
290,019f11e3,1,5820.0,5820.0,5820.0,5820.0
291,019ffa03,5,5980.0,1196.0,346.14,1690.61
292,01a1156a,8,8809.42,1101.1775,85.0,2478.42
293,01a27982,1,640.0,640.0,640.0,640.0
294,01a2ef84,15,9200.0,613.3333333333334,356.68,1080.0
295,01a3c748,6,14496.0,2416.0,1729.0,3177.0
296,01a57c3e,5,22293.0,4458.6,1552.54,6837.85
297,01a6428b,3,2780.0,926.6666666666666,300.0,2180.0
298,01a73631,20,27474.0,1373.7,50.0,11232.0
299,01a86544,26,17217.56,662.2138461538462,93.0,2331.0
300,01a8b6f6,4,5440.0,1360.0,100.0,2780.0
301,01ac07b1,45,110143.12,2447.6248888888886,90.0,17797.0
302,01ac4dac,1,200.0,200.0,200.0,200.0
303,01ad29b7,7,14737.28,2105.325714285714,697.76,3904.32
304,01ad7bce,3,2539.0,846.3333333333334,198.0,1999.0
305,01add328,5,2900.0,580.0,480.0,760.0
306,01ae5faf,2,1240.0,620.0,490.0,750.0
307,01b039ff,26,21280.0,818.4615384615385,100.0,2800.0
308,01b0ec2b,113,268411.72000000003,2375.3249557522126,48.0,14245.0
309,01b20336,37,13374.0,361.4594594594595,96.0,1640.0
310,01b3b257,1,2091.0,2091.0,2091.0,2091.0
311,01b5d393,3,6999.1,2333.0333333333333,137.0,3806.1
312,01b5d915,1,340.0,340.0,340.0,340.0
313,01b68860,1,330.0,330.0,330.0,330.0
314,01b97a89,1,799.0,799.0,799.0,799.0
315,01b9bfea,1,320.0,320.0,320.0,320.0
316,01bc6f33,5,6250.5,1250.1,675.0,2655.0
317,01bcb35b,2,2760.0,1380.0,1240.0,1520.0
318,01bdc8db,1,10300.0,10300.0,10300.0,10300.0
319,01be2dc9,8,19070.1,2383.7625,675.0,3809.7
320,01bfddfc,51,56368.92,1105.2729411764706,29.0,4221.0
321,01c07cbd,6,1520.0,253.33333333333334,190.0,320.0
322,01c438f8,9,3965.6999999999994,440.63333333333327,250.0,940.0
323,01c84156,7,9637.800000000001,1376.8285714285716,215.45,3808.8
324,01c8a92e,2,1686.0,843.0,668.97,1017.03
325,01c94288,2,2024.0,1012.0,680.0,1344.0
326,01cae426,4,3759.0,939.75,450.0,1439.0
327,01cc5fa1,19,12610.0,663.6842105263158,100.0,2250.0
328,01cdf346,7,3908.0,558.2857142857143,240.0,1388.0
329,01ce8902,8,2850.0,356.25,190.0,600.0
330,01cf91d2,27,44507.0,1648.4074074074074,270.0,21875.0
331,01d193f7,4,3876.0,969.0,632.0,1450.0
332,01d1bb41,1,1636.0,1636.0,1636.0,1636.0
333,01d722b4,2,968.0,484.0,320.0,648.0
334,01d7a8f9,1,550.0,550.0,550.0,550.0
335,01da1adf,4,7267.0,1816.75,1432.0,2115.0
336,01da7196,3,1652.4,550.8000000000001,180.0,1220.4
337,01da8a9b,3,1860.0,620.0,55.0,1750.0
338,01db20ad,7,9048.0,1292.5714285714287,99.0,3490.0
339,01dcdf70,2,2114.0,1057.0,1052.0,1062.0
340,01dd2879,3,1120.0,373.3333333333333,190.0,580.0
341,01dd34be,9,9445.0,1049.4444444444443,300.0,4950.0
342,01de3f6d,44,57830.2,1314.3227272727272,120.0,8915.0
343,01df3ae5,6,5974.759999999999,995.7933333333332,182.28,3087.0
344,01dfaddd,38,48209.05,1268.659210526316,59.0,4589.1
345,01e4ef19,1,1432.8,1432.8,1432.8,1432.8
346,01e61f54,6,6385.0,1064.1666666666667,505.0,1900.0
347,01e7c330,1,1969.0,1969.0,1969.0,1969.0
348,01e82aa4,5,1310.0,262.0,140.0,350.0
349,01e850ec,4,10593.0,2648.25,1971.0,3960.0
350,01e981be,34,14861.7,437.1088235294118,108.0,1962.0
351,01e9fc41,4,2948.0,737.0,299.0,1180.0
352,01ea3abe,5,19971.0,3994.2,259.0,8330.0
353,01eac5b5,1,22500.0,22500.0,22500.0,22500.0
354,01eed132,1,1390.0,1390.0,1390.0,1390.0
355,01f1c06a,6,2565.0,427.5,220.0,660.0
356,01f3694a,2,1089.0,544.5,531.0,558.0
357,01f648e3,2,5952.0,2976.0,432.0,5520.0
358,01f7800e,9,2685.0,298.3333333333333,150.0,520.0
359,01f78434,3,2576.0,858.6666666666666,380.0,1230.0
360,01f7dd61,4,1136.0,284.0,240.0,310.0
361,01f84f44,19,30989.0,1631.0,356.0,6296.0
362,01f8a298,1,6406.0,6406.0,6406.0,6406.0
363,01f8cda7,9,7834.0,870.4444444444445,60.0,5784.0
364,01f92a37,4,4137.3,1034.325,472.29,1619.1
365,01fec211,4,9800.0,2450.0,900.0,3200.0
366,01feece3,2,5977.0,2988.5,2680.0,3297.0
367,01ff9903,1,320.0,320.0,320.0,320.0
368,0200430e,2,2268.0,1134.0,1104.0,1164.0
369,0200e9d3,7,3564.0,509.14285714285717,135.0,855.0
370,0203bcfb,13,15138.2,1164.4769230769232,207.0,3329.0
371,0204fea3,2,1670.0,835.0,580.0,1090.0
372,020633c3,7,3650.0,521.4285714285714,300.0,850.0
373,02080cc1,30,41163.2,1372.1066666666666,329.0,7992.0
374,020b6513,2,1920.0,960.0,600.0,1320.0
375,020c57c0,7,3410.0,487.14285714285717,360.0,650.0
376,020cd982,4,1300.0,325.0,240.0,520.0
377,020e593f,1,1270.0,1270.0,1270.0,1270.0
378,020e7760,1,15580.0,15580.0,15580.0,15580.0
379,020f6cc2,4,3090.0,772.5,520.0,880.0
380,020f8830,1,420.0,420.0,420.0,420.0
381,020f8e13,4,578.0,144.5,63.0,389.0
382,020fa0d9,7,1455.0,207.85714285714286,80.0,320.0
383,0215a964,2,515.0,257.5,195.0,320.0
384,02190b39,10,4410.0,441.0,210.0,770.0
385,021a6bf2,4,970.0,242.5,20.0,606.0
386,021a86d3,32,41426.9,1294.590625,0.9,3852.0
387,021b39a9,13,37638.0,2895.230769230769,240.0,13592.0
388,021bca9d,15,24771.4,1651.4266666666667,54.0,6220.8
389,021c0a4e,2,1275.0,637.5,215.0,1060.0
390,021c733c,9,6379.799999999999,708.8666666666666,264.6,2450.0
391,021c8ee2,1,1120.0,1120.0,1120.0,1120.0
392,021f52ad,9,4869.0,541.0,50.0,1270.0
393,022046fb,5,3200.0,640.0,480.0,920.0
394,0220ae3e,1,1700.0,1700.0,1700.0,1700.0
395,0222e5c6,3,12290.0,4096.666666666667,650.0,10810.0
396,02261b94,1,2550.0,2550.0,2550.0,2550.0
397,02286b00,1,518.0,518.0,518.0,518.0
398,02331df0,16,13391.880000000001,836.9925000000001,120.0,5110.2
399,02344aa3,9,7770.0,863.3333333333334,350.0,1480.0
400,0235ffdd,1,1480.0,1480.0,1480.0,1480.0
401,0236bfa1,4,5647.0,1411.75,300.0,2144.0
402,0238b877,41,51657.0,1259.9268292682927,100.0,2868.86
403,023b7dd7,1,205.8,205.8,205.8,205.8
404,023cbcf9,7,1950.0,278.57142857142856,125.0,520.0
405,023ee474,4,4318.0,1079.5,225.23,3140.0
406,023fcabb,1,310.0,310.0,310.0,310.0
407,0244dfca,2,2400.0,1200.0,1060.0,1340.0
408,0247799f,3,1240.0,413.3333333333333,300.0,620.0
409,0247d0c7,1,1370.0,1370.0,1370.0,1370.0
410,0249c366,4,2168.0,542.0,342.0,774.0
411,024b7a56,4,5186.7,1296.675,90.0,2662.2
412,024d1cfd,4,5582.8,1395.7,299.0,4123.8
413,024e18a0,2,11860.0,5930.0,5510.0,6350.0
414,024efdc9,1,2310.0,2310.0,2310.0,2310.0
415,025388dd,2,720.0,360.0,300.0,420.0
416,025492bd,1,10948.0,10948.0,10948.0,10948.0
417,0254c8fb,2,1270.0,635.0,420.0,850.0
418,0255b903,4,5639.0,1409.75,128.0,3863.0
419,0255de36,2,890.0,445.0,140.0,750.0
420,0258a296,9,11159.0,1239.888888888889,58.3,2955.0
421,025940a3,1,590.0,590.0,590.0,590.0
422,025bca2a,1,7050.0,7050.0,7050.0,7050.0
423,025c383e,16,9130.0,570.625,240.0,1080.0
424,025dde75,15,11990.0,799.3333333333334,15.0,2911.0
425,025ed799,6,51326.0,8554.333333333334,318.34,34545.66
426,025f13a4,4,8319.0,2079.75,649.0,3250.0
427,025f2833,1,2195.0,2195.0,2195.0,2195.0
428,026050b7,24,24602.0,1025.0833333333333,20.0,3200.0
429,026135ec,1,34960.0,34960.0,34960.0,34960.0
430,0263c1f5,1,269.0,269.0,269.0,269.0
431,0267ac58,45,68869.7,1530.4377777777777,158.0,4455.0
432,0267f5c7,10,5455.0,545.5,320.0,870.0
433,026ac77a,42,68009.99999999999,1619.285714285714,9.35,13515.0
434,026f26c8,1,320.0,320.0,320.0,320.0
435,02701a18,10,6614.0,661.4,40.0,2278.0
436,027020b4,2,780.0,390.0,300.0,480.0
437,0274df40,2,3401.0,1700.5,1476.0,1925.0
438,02764a82,1,2546.0,2546.0,2546.0,2546.0
439,0278150f,19,65911.0,3469.0,310.0,45900.0
440,0278662c,6,9477.0,1579.5,39.48,5400.0
441,027c5bc5,21,15153.0,721.5714285714286,230.0,1750.0
442,027c73ca,7,5624.4,803.4857142857143,100.0,3580.0
443,027dfece,2,5180.0,2590.0,2200.0,2980.0
444,027fc214,1,940.0,940.0,940.0,940.0
445,02848b0c,9,7884.0,876.0,53.83,5000.0
446,0284a76c,3,3393.0,1131.0,32.0,3272.0
447,02857c39,32,28508.64,890.895,80.0,4726.0
448,0285f134,3,3128.0,1042.6666666666667,1001.0,1078.56
449,028754c7,11,15086.2,1371.4727272727273,288.0,3100.0
450,0288642e,64,160543.34999999995,2508.489843749999,98.0,9891.0
451,0288ed69,8,7070.0,883.75,375.0,1690.0
452,02894d99,1,441.0,441.0,441.0,441.0
453,028b7e33,3,12588.0,4196.0,308.0,10981.0
454,028ba691,2,1119.0,559.5,220.0,899.0
455,028c2821,17,28036.72,1649.2188235294118,65.0,2898.0
456,028c3247,1,1428.0,1428.0,1428.0,1428.0
457,028e117c,1,2790.0,2790.0,2790.0,2790.0
458,028e178d,3,4642.6,1547.5333333333335,1383.3,1876.0
459,028e242d,5,3700.0,740.0,320.0,1240.0
460,028f1963,2,695.0,347.5,320.0,375.0
461,028fe4f9,2,480.0,240.0,36.44,443.56
462,029399f3,2,3458.0,1729.0,1729.0,1729.0
463,02945d0b,1,320.0,320.0,320.0,320.0
464,0296800c,5,2650.0,530.0,295.0,695.0
465,0296d725,37,25730.0,695.4054054054054,52.0,2144.0
466,0296d898,3,1240.0,413.3333333333333,280.0,480.0
467,029952fd,4,20980.0,5245.0,320.0,19320.0
468,029a23b9,19,11718.0,616.7368421052631,90.0,2482.0
469,029a902f,1,4185.0,4185.0,4185.0,4185.0
470,029c932f,57,13948.4,244.70877192982456,16.86,2698.0
471,029da3b1,3,1930.0,643.3333333333334,620.0,660.0
